motif,source,count
GBBAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
GGBBB,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
GBBBB,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
GBBBA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEED,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEEEEEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DDDEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DDDDEEEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DDDDDD,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
AAAAEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
AAABBBB,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
AAAEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
ABBBB,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
BBBAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
BBBBA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
BBBBB,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
BBBBBAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
BBGGG,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
CCCAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
CCCCC,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DDDDEEEEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
CCFFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
CCFFFFF,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
OOOAAAAA,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DDDDE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
DDDDDDDEEE,"CB_colab_colab_data_test_files_init_concat.csv, CB_processing_chrombert_utils_init_concat.csv, CB_training_motif_prom_result_init_concat.csv",3
EEEDD,"FC_cls_rpkm0_n_rpkm20_wg, FC_test_run",2
CCCCCCC,"FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_wg",2
EEAAAA,"FC_cls_not_n_rpkm50_wg, FC_cls_rpkm0_n_rpkm20_wg",2
CCCCCCCCC,"FC_cls_not_n_rpkm50_wg, FC_test_run",2
AAAAAAAA,FC_cls_rpkm0_n_rpkm20_wg,1
AAAEEE,FC_cls_not_n_rpkm50_wg,1
ACCCCC,FC_cls_not_n_rpkm50_wg,1
FFFDD,FC_cls_rpkm0_n_rpkm20_wg,1
DDDDDE,FC_cls_rpkm0_n_rpkm20_wg,1
ABBAA,FC_cls_not_n_rpkm50_wg,1
FFFFDD,FC_test_run,1
AACCCCCCCC,FC_cls_not_n_rpkm50_wg,1
AABBBBB,FC_cls_not_n_rpkm50_wg,1
AABBB,FC_cls_not_n_rpkm50_wg,1
AABBAA,FC_cls_not_n_rpkm50_wg,1
DDDDDEE,FC_cls_rpkm0_n_rpkm20_wg,1
AAACCCC,FC_test_run,1
OOAAAAAAAA,FC_cls_rpkm0_n_rpkm20_wg,1
ACCCCCC,FC_cls_rpkm0_n_rpkm20_wg,1
DDFFF,FC_cls_rpkm0_n_rpkm20_wg,1
AAAAEEE,FC_cls_not_n_rpkm50_wg,1
AAAABBBB,FC_cls_not_n_rpkm50_wg,1
AAAABB,FC_cls_rpkm0_n_rpkm20_wg,1
AAAAAE,FC_cls_not_n_rpkm50_wg,1
AAAAABB,FC_cls_rpkm0_n_rpkm20_wg,1
AAAAAB,FC_cls_rpkm0_n_rpkm20_wg,1
AAAAAAEEE,FC_cls_not_n_rpkm50_wg,1
AAAAAABB,FC_cls_not_n_rpkm50_wg,1
AAAAAAB,FC_cls_rpkm0_n_rpkm20_wg,1
AAAAAAAB,FC_cls_rpkm0_n_rpkm20_wg,1
EEAAAAAAAAA,FC_cls_rpkm0_n_rpkm20_wg,1
DDDDDDDDDDDE,FC_cls_rpkm0_n_rpkm20_wg,1
BAAAAAAAA,FC_cls_not_n_rpkm50_wg,1
DDDDDDDDDDDDDDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
EEDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
DDDDDDDDDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
DDDDDDDDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
DDDDDDDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
EEEAAAAA,FC_cls_not_n_rpkm50_wg,1
EEAAAAAAAA,FC_cls_rpkm0_n_rpkm20_wg,1
EEEDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
EEEDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
EEEDDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
EEEDDDDDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
EEEEAAAAAA,FC_cls_not_n_rpkm50_wg,1
EEAAAAAAA,FC_cls_rpkm0_n_rpkm20_wg,1
EEAAAAAA,FC_cls_rpkm0_n_rpkm20_wg,1
CCCCCFF,FC_cls_not_n_rpkm50_wg,1
CCCCCCF,FC_cls_rpkm0_n_rpkm20_wg,1
EEEEEDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
CCCCCCCCCCC,FC_test_run,1
CCCCCCCCCC,FC_test_run,1
CCCCCCCAA,FC_cls_not_n_rpkm50_wg,1
EEEEEEEDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
DDDDDDDDDDDDDDDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
EDDDDDDDDDDDDD,FC_cls_rpkm0_n_rpkm20_wg,1
EAAAAAAAAA,FC_cls_not_n_rpkm50_wg,1
EAAAAAAAA,FC_cls_rpkm0_n_rpkm20_wg,1
EAAAAAAA,FC_cls_not_n_rpkm50_wg,1
CCCCCCCC,FC_cls_not_n_rpkm50_wg,1
